,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
0,7 may 2025,"1,1343","1,1378","1,1327","1,1343","1,1343",-
1,6 may 2025,"1,1313","1,1361","1,1281","1,1313","1,1313",-
2,5 may 2025,"1,1323","1,1365","1,1313","1,1323","1,1323",-
3,2 may 2025,"1,1296","1,1379","1,1275","1,1296","1,1296",-
4,1 may 2025,"1,1325","1,1341","1,1267","1,1325","1,1325",-
5,30 abr 2025,"1,1389","1,1399","1,1327","1,1389","1,1389",-
6,29 abr 2025,"1,1409","1,1420","1,1371","1,1409","1,1409",-
7,28 abr 2025,"1,1343","1,1408","1,1331","1,1343","1,1343",-
8,25 abr 2025,"1,1372","1,1384","1,1316","1,1372","1,1372",-
9,24 abr 2025,"1,1327","1,1394","1,1322","1,1327","1,1327",-
10,23 abr 2025,"1,1351","1,1440","1,1338","1,1351","1,1351",-
11,22 abr 2025,"1,1513","1,1547","1,1454","1,1513","1,1513",-
12,17 abr 2025,"1,1397","1,1396","1,1341","1,1397","1,1397",-
13,16 abr 2025,"1,1293","1,1390","1,1294","1,1293","1,1293",-
14,15 abr 2025,"1,1340","1,1378","1,1286","1,1340","1,1340",-
15,14 abr 2025,"1,1343","1,1425","1,1300","1,1343","1,1343",-
16,11 abr 2025,"1,1258","1,1472","1,1251","1,1258","1,1258",-
17,10 abr 2025,"1,0952","1,1225","1,0953","1,0952","1,0952",-
18,9 abr 2025,"1,0980","1,1095","1,0972","1,0980","1,0980",-
19,8 abr 2025,"1,0915","1,0992","1,0892","1,0915","1,0915",-
20,7 abr 2025,"1,0985","1,1050","1,0903","1,0985","1,0985",-
21,4 abr 2025,"1,1044","1,1108","1,0965","1,1044","1,1044",-
22,3 abr 2025,"1,0909","1,1133","1,0882","1,0909","1,0909",-
23,2 abr 2025,"1,0796","1,0873","1,0782","1,0796","1,0796",-
24,1 abr 2025,"1,0819","1,0831","1,0780","1,0819","1,0819",-
25,31 mar 2025,"1,0824","1,0848","1,0786","1,0824","1,0824",-
26,28 mar 2025,"1,0801","1,0845","1,0766","1,0801","1,0801",-
27,27 mar 2025,"1,0742","1,0819","1,0742","1,0742","1,0742",-
28,26 mar 2025,"1,0787","1,0802","1,0769","1,0787","1,0787",-
29,25 mar 2025,"1,0804","1,0831","1,0779","1,0804","1,0804",-
30,24 mar 2025,"1,0836","1,0857","1,0791","1,0836","1,0836",-
31,21 mar 2025,"1,0857","1,0861","1,0806","1,0857","1,0857",-
32,20 mar 2025,"1,0912","1,0918","1,0818","1,0912","1,0912",-
33,19 mar 2025,"1,0939","1,0946","1,0876","1,0939","1,0939",-
34,18 mar 2025,"1,0919","1,0954","1,0897","1,0919","1,0919",-
35,17 mar 2025,"1,0881","1,0929","1,0869","1,0881","1,0881",-
36,14 mar 2025,"1,0856","1,0910","1,0831","1,0856","1,0856",-
37,13 mar 2025,"1,0886","1,0899","1,0823","1,0886","1,0886",-
38,12 mar 2025,"1,0914","1,0935","1,0877","1,0914","1,0914",-
39,11 mar 2025,"1,0839","1,0930","1,0837","1,0839","1,0839",-
40,10 mar 2025,"1,0861","1,0873","1,0806","1,0861","1,0861",-
41,7 mar 2025,"1,0788","1,0886","1,0782","1,0788","1,0788",-
42,6 mar 2025,"1,0795","1,0851","1,0782","1,0795","1,0795",-
