,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad
5472,1 abr 2004,1.2312,1.2385,1.2259,1.2365,1.2365,,0.0
5212,1 abr 2005,1.2968,1.3043,1.2879,1.2909,1.2909,,0.0
4192,1 abr 2009,1.3245,1.3279,1.3176,1.3241,1.3241,,0.0
3931,1 abr 2010,1.3508,1.3591,1.3463,1.3584,1.3584,,0.0
3670,1 abr 2011,1.416,1.4215,1.4065,1.4159,1.4159,,0.06777557082017083
3150,1 abr 2013,1.2806,1.2867,1.2774,1.2806,1.2806,,0.05502305880265098
2890,1 abr 2014,1.3775,1.3813,1.3771,1.3775,1.3775,,0.05159539708152245
2629,1 abr 2015,1.0741,1.08,1.0721,1.0738,1.0738,,0.1363678224508993
2367,1 abr 2016,1.1379,1.1438,1.1342,1.138,1.138,,0.1483657069541342
1588,1 abr 2019,1.1223,1.125,1.121,1.1224,1.1224,,0.12627643485623147
1327,1 abr 2020,1.1028,1.1038,1.0919,1.1027,1.1027,,0.12234813852282385
1066,1 abr 2021,1.1729,1.1776,1.1715,1.1729,1.1729,,0.03722462894375357
805,1 abr 2022,1.1072,1.1075,1.103,1.1072,1.1072,,0.02836393837252038
284,1 abr 2024,1.0793,1.0801,1.0732,1.0793,1.0793,,0.034913249633916184
24,1 abr 2025,1.0819,1.0831,1.078,1.0819,1.0819,,0.03788944444037357
5126,1 ago 2005,1.2123,1.2245,1.2122,1.2184,1.2184,,0.06131902641105883
4866,1 ago 2006,1.2774,1.2831,1.2723,1.282,1.282,,0.09151476929982451
4605,1 ago 2007,1.367,1.371,1.3646,1.3677,1.3677,,0.12602604095979536
3584,1 ago 2011,1.4365,1.4451,1.4188,1.4364,1.4364,,0.13707427548595652
3322,1 ago 2012,1.2294,1.2335,1.2282,1.2294,1.2294,,0.09344159673293184
3062,1 ago 2013,1.3301,1.3311,1.3198,1.3301,1.3301,,0.07931385124932357
2802,1 ago 2014,1.339,1.3446,1.338,1.339,1.339,,0.0748168898043738
2281,1 ago 2016,1.1168,1.1184,1.1156,1.1168,1.1168,,0.12156478931006247
2021,1 ago 2017,1.1824,1.1838,1.1791,1.1824,1.1824,,0.0955592904954822
1761,1 ago 2018,1.169,1.1699,1.1665,1.169,1.169,,0.10083371459983002
1501,1 ago 2019,1.1072,1.1073,1.1028,1.1072,1.1072,,0.09308647592427188
719,1 ago 2022,1.0208,1.0277,1.021,1.0208,1.0208,,0.06384863350143168
458,1 ago 2023,1.0998,1.1002,1.0954,1.0998,1.0998,,0.06446074774620711
196,1 ago 2024,1.0824,1.0838,1.0778,1.0824,1.0824,,0.05317130805237136
5560,1 dic 2003,1.2034,1.204,1.1944,1.1965,1.1965,,0.06312200884002474
5299,1 dic 2004,1.3298,1.3357,1.3284,1.3346,1.3346,,0.12244517957028815
5039,1 dic 2005,1.1799,1.18,1.1694,1.1742,1.1742,,0.10016686078738854
4778,1 dic 2006,1.326,1.3347,1.3223,1.3341,1.3341,,0.10913360160830413
4279,1 dic 2008,1.2675,1.2702,1.2586,1.2599,1.2599,,0.07491623989496547
4018,1 dic 2009,1.5034,1.5118,1.4976,1.509,1.509,,0.12346535141488063
3757,1 dic 2010,1.2995,1.3135,1.2977,1.2992,1.2992,,0.12360290045140515
3496,1 dic 2011,1.3442,1.3521,1.342,1.3444,1.3444,,0.09521227336851042
2716,1 dic 2014,1.2438,1.2506,1.2423,1.2438,1.2438,,0.10669291447889107
2455,1 dic 2015,1.0573,1.064,1.0566,1.0573,1.0573,,0.16377270224307836
2193,1 dic 2016,1.0592,1.0637,1.0588,1.0592,1.0592,,0.13490304666685649
1934,1 dic 2017,1.1899,1.194,1.1852,1.1898,1.1898,,0.12332449067399417
1153,1 dic 2020,1.1938,1.2054,1.1936,1.1938,1.1938,,0.08533962737204841
892,1 dic 2021,1.133,1.1358,1.1304,1.133,1.133,,0.06688850424400354
631,1 dic 2022,1.0425,1.0531,1.0398,1.0425,1.0425,,0.07092847101129474
370,1 dic 2023,1.0892,1.0913,1.0832,1.0892,1.0892,,0.06514559079477347
5537,1 ene 2004,1.259,1.2608,1.2474,1.2582,1.2582,,0.0850673145220893
4757,1 ene 2007,1.3198,1.322,1.3176,1.3219,1.3219,,0.11726181390376
4499,1 ene 2008,1.4601,1.463,1.4582,1.462,1.462,,0.17170647337826253
4256,1 ene 2009,1.398,1.4054,1.3955,1.3999,1.3999,,0.14378178952843756
3995,1 ene 2010,1.4327,1.4402,1.4327,1.439,1.439,,0.08476387791978289
3214,1 ene 2013,1.3201,1.3224,1.3196,1.3201,1.3201,,0.06556780459951245
2954,1 ene 2014,1.3745,1.3779,1.3744,1.3745,1.3745,,0.05566691117710625
2693,1 ene 2015,1.2099,1.2099,1.2099,1.2099,1.2099,,0.08877579625100462
2432,1 ene 2016,1.0859,1.0867,1.0859,1.0859,1.0859,,0.13985278688678296
1913,1 ene 2018,1.2005,1.2015,1.1999,1.2005,1.2005,,0.11258637572992555
1652,1 ene 2019,1.1494,1.155,1.1465,1.1493,1.1493,,0.10730448266498462
1392,1 ene 2020,1.1221,1.1228,1.1159,1.1221,1.1221,,0.05235291777924114
1130,1 ene 2021,1.2173,1.2217,1.2135,1.218,1.218,,0.054609596226304256
349,1 ene 2024,1.1056,1.1053,1.104,1.1056,1.1056,,0.048760793676887494
5255,1 feb 2005,1.305,1.3066,1.3004,1.3039,1.3039,,0.08158619368496114
4995,1 feb 2006,1.2149,1.2165,1.2054,1.2067,1.2067,,0.08025261989492924
4734,1 feb 2007,1.3024,1.3041,1.3007,1.3019,1.3019,,0.0817839042844006
4476,1 feb 2008,1.4866,1.4932,1.4797,1.48,1.48,,0.13859865439462246
3974,1 feb 2010,1.3876,1.3937,1.3856,1.3927,1.3927,,0.10350989324697417
3713,1 feb 2011,1.3715,1.3793,1.3705,1.3714,1.3714,,0.10250401455552846
3452,1 feb 2012,1.3139,1.3214,1.3047,1.3077,1.3077,,0.07268667690849542
3191,1 feb 2013,1.3611,1.3693,1.3589,1.3611,1.3611,,0.06282210598189152
2411,1 feb 2016,1.0826,1.0912,1.0826,1.0826,1.0826,,0.12717945981957937
2149,1 feb 2017,1.0803,1.0808,1.0739,1.0804,1.0804,,0.14727468553692447
1890,1 feb 2018,1.2417,1.2488,1.2387,1.2419,1.2419,,0.12875237085195748
1629,1 feb 2019,1.1451,1.1488,1.1435,1.145,1.145,,0.1196207966868637
1109,1 feb 2021,1.2123,1.2136,1.2069,1.2124,1.2124,,0.0736902842985422
848,1 feb 2022,1.1229,1.1279,1.1222,1.123,1.123,,0.06592054308028704
587,1 feb 2023,1.0861,1.0924,1.0853,1.0861,1.0861,,0.06421539535033621
326,1 feb 2024,1.0804,1.0866,1.078,1.0804,1.0804,,0.05350048597910088
5407,1 jul 2004,1.2183,1.2208,1.2139,1.2162,1.2162,,0.06657523563608297
5147,1 jul 2005,1.2088,1.2101,1.1936,1.1936,1.1936,,0.06210006441220471
4127,1 jul 2009,1.4039,1.42,1.4004,1.4141,1.4141,,0.13546323117362868
3866,1 jul 2010,1.2232,1.2243,1.2199,1.2508,1.2508,,0.12063976127297321
3605,1 jul 2011,1.4496,1.4546,1.4446,1.4497,1.4497,,0.118399607262862
3085,1 jul 2013,1.3014,1.3066,1.3008,1.3014,1.3014,,0.10813189631186518
2825,1 jul 2014,1.3692,1.3698,1.3677,1.3694,1.3694,,0.08120533849446081
2564,1 jul 2015,1.1135,1.1168,1.1061,1.1135,1.1135,,0.12687108811703313
2302,1 jul 2016,1.1104,1.117,1.1074,1.1106,1.1106,,0.15252310316801188
1524,1 jul 2019,1.1364,1.1368,1.1306,1.1365,1.1365,,0.12071452688057076
1262,1 jul 2020,1.1234,1.1275,1.1189,1.1236,1.1236,,0.11152756161595245
1001,1 jul 2021,1.1855,1.1884,1.1838,1.1857,1.1857,,0.03063946801104902
740,1 jul 2022,1.0478,1.0478,1.037,1.0478,1.0478,,0.049747793920937845
219,1 jul 2024,1.0735,1.0778,1.0721,1.0735,1.0735,,0.05422247688920259
5429,1 jun 2004,1.2199,1.2265,1.216,1.2245,1.2245,,0.07419162351640574
5169,1 jun 2005,1.231,1.2341,1.2167,1.2196,1.2196,,0.08361481328090177
4909,1 jun 2006,1.2816,1.2822,1.2728,1.2811,1.2811,,0.10248934090918939
